"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14324,"엠브레인","YTN",2025-05-18,2025-05-19,"4.57%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16212&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14320,"한길리서치","쿠키뉴스",2025-05-17,2025-05-19,"1.08%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16208&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14319,"조원씨앤아이","스트레이트뉴스",2025-05-17,2025-05-19,"1.76%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16205&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14316,"에브리리서치","에브리뉴스",2025-05-19,2025-05-19,"1.69%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16203&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14314,"에이스리서치","뉴시스",2025-05-18,2025-05-19,"0.84%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16199&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14312,"넥스트리서치","MBN/매일경제신문",2025-05-16,2025-05-18,"4.39%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16197&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14310,"입소스","한국경제신문",2025-05-16,2025-05-17,"4.4%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16196&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14309,"KOPRA","아시아투데이",2025-05-17,2025-05-17,"2.7%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16195&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14308,"여론조사꽃","여론조사꽃",2025-05-16,2025-05-17,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16194&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14307,"리서치민","뉴데일리",2025-05-16,2025-05-17,"1.47%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16193&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14306,"한국사회여론연구소(KSOI)","CBS",2025-05-16,2025-05-17,"3.47%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16190&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
