"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14298,"리얼미터","미디어트리뷴",2025-05-13,2025-05-14,"2.64%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16179&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14295,"윈지코리아","서울의소리",2025-05-14,2025-05-14,"1.06%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16174&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14291,"여론조사공정","데일리안",2025-05-13,2025-05-14,"1.28%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16167&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14290,"한길리서치","폴리뉴스",2025-05-13,2025-05-14,"0.49%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16166&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14286,"케이스탯리서치","전국지표조사(NBS)",2025-05-12,2025-05-14,"6.84%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16162&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14283,"미디어토마토","뉴스토마토",2025-05-12,2025-05-13,"1.24%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16153&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14281,"리서치뷰","KPI뉴스",2025-05-12,2025-05-13,"1.28%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16150&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14280,"여론조사공정","뉴스피릿",2025-05-12,2025-05-13,"1.41%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16149&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14279,"메타보이스","오마이뉴스",2025-05-12,2025-05-13,"0.78%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16148&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14278,"KOPRA","아시아투데이",2025-05-13,2025-05-13,"2.75%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16147&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14277,"여론조사꽃","여론조사꽃",2025-05-12,2025-05-13,"4.72%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16146&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",14276,"여론조사공정","펜앤마이크",2025-05-12,2025-05-13,"1.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16144&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",14274,"한국갤럽","뉴스1",2025-05-12,2025-05-13,"5.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16141&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",14272,"코리아정보리서치","천지일보",2025-05-12,2025-05-13,"1.12%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16140&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",14271,"미디어리서치","뉴스핌",2025-05-12,2025-05-13,"1.5%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16139&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"16",14270,"엠브레인","YTN",2025-05-11,2025-05-12,"4.18%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16136&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"17",14269,"에브리리서치","에브리뉴스",2025-05-12,2025-05-12,"1.74%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16135&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"18",14264,"한길리서치","글로벌이코노믹",2025-05-11,2025-05-12,"1.53%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16131&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
