"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14397,"미디어토마토","뉴스토마토",2025-05-26,2025-05-27,"1.11%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16289&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14396,"윈지코리아","서울의소리",2025-05-27,2025-05-27,"1.34%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16288&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14395,"입소스","SBS",2025-05-25,2025-05-27,"5.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16270&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14393,"메타보이스","JTBC",2025-05-26,2025-05-27,"3.91%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16285&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14390,"리서치뷰","KPI뉴스",2025-05-26,2025-05-27,"1.27%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16282&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14389,"코리아리서치인터내셔널","MBC",2025-05-26,2025-05-27,"5.16%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16281&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14388,"메타보이스","오마이뉴스",2025-05-26,2025-05-27,"1.74%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16280&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14386,"KOPRA","아시아투데이",2025-05-27,2025-05-27,"2.24%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16275&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14385,"한국갤럽","서울경제",2025-05-26,2025-05-27,"5.59%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16278&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14384,"여론조사꽃","여론조사꽃",2025-05-26,2025-05-27,"5.02%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16277&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14380,"에이스리서치","뉴시스",2025-05-26,2025-05-27,"3.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16273&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",14379,"한국리서치","KBS",2025-05-25,2025-05-27,"5.4%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16274&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"13",14378,"여론조사공정","데일리안",2025-05-26,2025-05-27,"1.28%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16268&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"14",14377,"여론조사꽃","여론조사꽃",2025-05-24,2025-05-27,"4.64%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16271&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"15",14376,"한국사회여론연구소(KSOI)","CBS",2025-05-26,2025-05-27,"3.48%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16257&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"16",14368,"한국갤럽","뉴스1",2025-05-25,2025-05-26,"5.85%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16259&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"17",14367,"리서치앤리서치","동아일보",2025-05-24,2025-05-25,"1.62%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16256&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"18",14356,"넥스트리서치","MBN/매일경제신문",2025-05-23,2025-05-25,"4.86%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16248&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"19",14354,"한국갤럽","중앙일보",2025-05-24,2025-05-25,"6.37%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16246&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
